exclamationpoint,eksklamejsanpojnt
closequote,klouzkwout
doublequote,dabalkwout
endofquote,endavkwout
endquote,endkwout
inquotes,inkwouts
quote,kwout
unquote,ankwout
hashmark,hesmark
poundsign,poundsajn
sharpsign,sarpsajn
percent,pərsent
ampersand,empərsend
'allo,alou
'apostrophe,apastrafi
'bout,bout
'cause,kz
'course,kors
'cuse,kjūz
'em,am
'endinnerquote,endinərkwout
'endquote,endkwout
'frisco,friskou
'gain,gen
'innerquote,inərkwout
'kay,kej
'm,am
'n,an
'quote,kwout
'round,round
's,es
'singlequote,singgalkwout
'til,til
'tis,tiz
'twas,twz
beginparens,biginpərenz
inparentheses,inpərenŧasiz
leftparen,leftpəren
openparentheses,oupanpərenŧasiz
paren,pəren
parens,pərenz
parentheses,pərenŧasiz
closeparen,klouzpəren
closeparentheses,klouzpərenŧasiz
endparen,endpəren
endparens,endpərenz
endparentheses,endpərenŧasiz
endtheparen,endðapəren
rightparen,rajtpern
unparentheses,anpərenŧasiz
plus,plus
comma,kama
dash,des
hyphen,hajfn
...ellipsis,ilipsis
.decimal,desaml
.dot,dat
.fullstop,fulstap
.period,pirid
.point,pojnt
slash,sles
d,ŧridi
colon,kouln
semicolon,semikouln
questionmark,kwesčanmark
a,ej
a's,ejz
a.,ej
a.'s,ejz
a.d.,ejdi
a.m.,ejem
a.s,ejz
aa,ejej
aaa,tripalej
aaai,tripalejaj
aaberg,abərg
aachen,akn
aachener,akanər
aah,a
aaker,akər
aaliyah,alia
aalseth,alseŧ
aamodt,amt
aancor,ankor
aardema,ardema
aardvark,ardvark
aardvarks,ardvarks
aargh,arg
aarhus,ahūs
aaron,ern
aaron's,eranz
aarons,eranz
aaronson,eransn
aaronson's,eransanz
aarti,arti
aase,as
aasen,asn
ab,eb
aba,ejbiej
ababa,ababa
abacha,ebaka
aback,abek
abaco,ebakou
abacus,ebaks
abad,abad
abadaka,abedaka
abadi,abedi
abadie,abedi
abair,aber
abalkin,abalkin
abalone,ebalouni
abalones,ebalouniz
abalos,abalouz
abandon,abendn
abandoned,abendand
abandoning,abendaning
abandonment,abendanmant
abandonments,abendanmants
abandons,abendanz
abanto,abentou
abarca,abarka
abare,abari
abascal,ebaskl
abash,abes
abashed,abest
abasia,abejžja
abate,abejt
abated,abejtid
abatement,abejtmant
abatements,abejtmants
abates,abejts
abating,abejting
abattoir,ebatwar
abba,eba
abbado,abadou
abbas,abas
abbasi,abasi
abbate,abejt
abbatiello,abatielou
abbe,ebi
abbenhaus,ebanhous
abbett,abet
abbeville,ebvil
abbey,ebi
abbey's,ebiz
abbie,ebi
abbitt,ebit
abbot,ebt
abbotstown,ebatstoun
abbott,ebt
abbott's,ebats
abbottstown,ebatstoun
abboud,abūd
abbreviate,abriviejt
abbreviated,abriviejtid
abbreviates,abriviejts
abbreviating,abriviejting
abbreviation,abriviejsn
abbreviations,abriviejsanz
abbruzzese,abrūtsejzi
abbs,ebz
abby,ebi
abc,ejbisi
abc's,ejbisiz
abco,ebkou
abcotek,ebkoutek
abcs,ejbisiz
abd,ejbidi
abdalla,ebdela
abdallah,ebdela
abdel,ebdel
abdella,ebdela
abdicate,ebdakejt
abdicated,ebdakejtid
abdicates,ebdakejts
abdicating,ebdikejting
abdication,ebdikejsn
abdnor,ebdnər
abdo,ebdou
abdollah,ebdala
abdomen,ebdoumn
abdominal,ebdamanl
abduct,ebdakt
abducted,ebdaktid
abductee,ebdakti
abductees,ebdaktiz
abducting,ebdakting
abduction,ebdaksn
abductions,ebdaksanz
abductor,ebdaktər
abductors,ebdaktərz
abducts,ebdakts
abdul,ebdūl
abdulaziz,ebdūlaziz
abdulla,abdūla
abdullah,ebdala
abe,ejb
abed,abed
abedi,abedi
abee,abi
abel,ejbl
abela,abela
abelard,ebilərd
abele,abel
abeles,abelz
abell,ejbl
abella,abela
abeln,ebiln
abelow,ebalou
abels,ejbalz
abelson,ebilsn
abend,ebend
abendroth,ebindroŧ
aber,ejbər
abercrombie,ebərkrambi
aberdeen,ebərdin
aberford,ejbərfərd
aberg,ebərg
aberle,ebərl
abermin,ebərmin
abernathy,ebərneŧi
abernethy,ebərneŧi
aberrant,eberant
aberration,ebərejsn
aberrational,ebərejsanl
aberrations,ebərejsanz
abert,ebərt
abet,abet
abetted,abetid
abetting,abeting
abex,ejbeks
abeyance,abejans
abeyta,abejta
abhor,ebhor
abhorred,abhord
abhorrence,abhorans
abhorrent,ebhorant
abhors,abhorz
abiam,ejbim
abiam's,ejbiamz
abid,ejbid
abide,abajd
abided,abajdid
abides,abajdz
abiding,abajding
abidjan,ebiƌan
abie,ebi
abigail,ebagejl
abila,abila
abilene,ebilin
abilities,abilatiz
ability,abilati
abimael,ebimejl
abimaels,ebimejlz
abingdon,ebingdn
abington,ebingtn
abio,abiou
abiola,abioula
abiola's,abioulz
abiomed,ejbiamed
abiquiu,abikjū
abitibi,ebitibi
abitz,ebits
abject,ebƌekt
abkhazia,ebkazja
abkhazian,ebkazin
abkhazians,ebkazianz
ablate,ablejt
ablation,ablejsn
ablaze,ablejz
able,ejbl
ablebodied,ejbalbadid
abled,ejbald
abler,ejblər
ables,ejbalz
ablest,ejbalst
abloom,ablūm
ablution,ablūsn
ablutions,ablūsanz
ably,ejbli
abnegation,ebnegejsn
abner,ebnər
abney,ebni
abnormal,ebnorml
abnormalities,ebnormelatiz
abnormality,ebnormelati
abnormally,ebnormali
abo,abou
abo's,abouz
aboard,abord
abode,aboud
abohalima,ebahalima
abolish,abalis
abolished,abalist
abolishes,abalisiz
abolishing,abalising
abolition,ebalisn
abolitionism,ebalisanizm
abolitionist,ebalisanast
abolitionists,ebalisanasts
abominable,abamanabl
abomination,abamanejsn
