exclamationpoint,eksklamejsanpojnt
closequote,klouzkvout
doublequote,dabalkvout
endofquote,endavkvout
endquote,endkvout
inquotes,inkvouts
quote,kvout
unquote,ankvout
hashmark,hesmark
poundsign,poundsajn
sharpsign,sarpsajn
percent,prsent
ampersand,emprsend
'allo,alou
'apostrophe,apastrafi
'bout,bout
'cause,kz
'course,kors
'cuse,kjuz
'em,am
'endinnerquote,endinrkvout
'endquote,endkvout
'frisco,friskou
'gain,gen
'innerquote,inrkvout
'kay,kej
'm,am
'n,an
'quote,kvout
'round,round
's,es
'singlequote,singgalkvout
'til,til
'tis,tiz
'twas,tvz
beginparens,biginprenz
inparentheses,inprentasiz
leftparen,leftpren
openparentheses,oupanprentasiz
paren,pren
parens,prenz
parentheses,prentasiz
closeparen,klouzpren
closeparentheses,klouzprentasiz
endparen,endpren
endparens,endprenz
endparentheses,endprentasiz
endtheparen,endtapren
rightparen,rajtpern
unparentheses,anprentasiz
plus,plus
comma,kama
dash,des
hyphen,hajfn
...ellipsis,ilipsis
.decimal,desaml
.dot,dat
.fullstop,fulstap
.period,pirid
.point,pojnt
slash,sles
d,tridi
colon,kouln
semicolon,semikouln
questionmark,kveschanmark
a,ej
a's,ejz
a.,ej
a.'s,ejz
a.d.,ejdi
a.m.,ejem
a.s,ejz
aa,ejej
aaa,tripalej
aaai,tripalejaj
aaberg,abrg
aachen,akn
aachener,akanr
aah,a
aaker,akr
aaliyah,alia
aalseth,alset
aamodt,amt
aancor,ankor
aardema,ardema
aardvark,ardvark
aardvarks,ardvarks
aargh,arg
aarhus,ahus
aaron,ern
aaron's,eranz
aarons,eranz
aaronson,eransn
aaronson's,eransanz
aarti,arti
aase,as
aasen,asn
ab,eb
aba,ejbiej
ababa,ababa
abacha,ebaka
aback,abek
abaco,ebakou
abacus,ebaks
abad,abad
abadaka,abedaka
abadi,abedi
abadie,abedi
abair,aber
abalkin,abalkin
abalone,ebalouni
abalones,ebalouniz
abalos,abalouz
abandon,abendn
abandoned,abendand
abandoning,abendaning
abandonment,abendanmant
abandonments,abendanmants
abandons,abendanz
abanto,abentou
abarca,abarka
abare,abari
abascal,ebaskl
abash,abes
abashed,abest
abasia,abejzja
abate,abejt
abated,abejtid
abatement,abejtmant
abatements,abejtmants
abates,abejts
abating,abejting
abattoir,ebatvar
abba,eba
abbado,abadou
abbas,abas
abbasi,abasi
abbate,abejt
abbatiello,abatielou
abbe,ebi
abbenhaus,ebanhous
abbett,abet
abbeville,ebvil
abbey,ebi
abbey's,ebiz
abbie,ebi
abbitt,ebit
abbot,ebt
abbotstown,ebatstoun
abbott,ebt
abbott's,ebats
abbottstown,ebatstoun
abboud,abud
abbreviate,abriviejt
abbreviated,abriviejtid
abbreviates,abriviejts
abbreviating,abriviejting
abbreviation,abriviejsn
abbreviations,abriviejsanz
abbruzzese,abrutsejzi
abbs,ebz
abby,ebi
abc,ejbisi
abc's,ejbisiz
abco,ebkou
abcotek,ebkoutek
abcs,ejbisiz
abd,ejbidi
abdalla,ebdela
abdallah,ebdela
abdel,ebdel
abdella,ebdela
abdicate,ebdakejt
abdicated,ebdakejtid
abdicates,ebdakejts
abdicating,ebdikejting
abdication,ebdikejsn
abdnor,ebdnr
abdo,ebdou
abdollah,ebdala
